Car Name,Car Brand,Car Model,Manufacture Year,Body Type,Fuel Type,Mileage,Transmission,Color,Price,Installment,Condition,Seat Capacity,Location,Sales Channel,URL
"2020 Toyota Alphard 2.5 SC UNREG ( MODELISTA , SUNROOF , BSM , DIM )",Toyota,Alphard,2020,MPV,Petrol - Unleaded (ULP),45 - 50K KM,Automatic,White,226000,"RM 2,930/month",Used,7,"Kuala Lumpur , Pudu",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15418677
"2020 Toyota GR Supra 2.0 SZ-R Coupe - JBL , HUD , BSM , 300 UNIT",Toyota,GR Supra,2020,Coupe,Petrol - Unleaded (ULP),35 - 40K KM,Automatic,Grey,245000,"RM 3,176/month",Used,2,"Kuala Lumpur , Setapak",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15921535
2023 Mitsubishi Triton 2.4 VGT Athlete Dual Cab Pickup Truck by Sime Darby Auto Selection,Mitsubishi,Triton,2023,Pickup Truck,Diesel,10 - 15K KM,Automatic,Black,110000,"RM 1,426/month",Used,5,"Kuala Lumpur , Jln Tun Razak",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15878162
2019 Mercedes-Benz C200 1.5 Avantgarde Sedan,Mercedes-Benz,C200,2019,Sedan,Petrol - Unleaded (ULP),90 - 95K KM,Automatic,Magenta,135800,"RM 1,761/month",Used,5,"Johor , Johor Bahru",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15898333
2020 Ford Ranger 2.0 Raptor High Rider [VERY NICE NUMBER PLATE],Ford,Ranger,2020,Pickup Truck,Diesel,30 - 35K KM,Automatic,Blue,124800,"RM 1,618/month",Used,5,"Johor , Johor Bahru",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_14915013
2023 Volkswagen Golf 2.0 GTi MK8 IQ.Drive Hatchback,Volkswagen,Golf,2023,Hatchback,Petrol - Unleaded (ULP),30 - 35K KM,Automatic,Black,179800,"RM 2,331/month",Used,5,"Johor , Johor Bahru",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15743013
2022 Mazda CX-5 2.0 SKYACTIV-G High [UNDER WARRANTY],Mazda,CX-5,2022,SUV,Petrol - Unleaded (ULP),40 - 45K KM,Automatic,Silver,145000,"RM 1,880/month",Used,5,"Johor , Johor Bahru",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_14796034
2020 Proton Saga 1.3 Premium Sedan AUTOMATIC 2 YEARS WARRANTY TIP TOP,Proton,Saga,2020,Sedan,Petrol - Unleaded (ULP),70 - 75K KM,Automatic,Black,24888,RM 323/month,Used,5,"Selangor , Cheras",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15234830
2015 Perodua Myvi 1.3 SE NEW VERSION FACELIFT ORIGINAL CONDITION 2 YEAR WARRANTY,Perodua,Myvi,2015,Hatchback,Petrol - Unleaded (ULP),85 - 90K KM,Automatic,White,22888,RM 297/month,Used,5,"Selangor , Cheras",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_14183173
2020 Toyota Alphard 3.5 MPV Full Spec Modelista bodykit BSM / DIM / Sunroof / Roof Monitor,Toyota,Alphard,2020,MPV,Petrol - Unleaded (ULP),20 - 25K KM,Automatic,White,265000,"RM 3,436/month",Used,7,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15921170
2020 Porsche 911 3.0 Carrera S Coupe,Porsche,911,2020,Coupe,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,Black,738000,"RM 9,568/month",Used,4,"Kuala Lumpur , Pudu",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15932371
"2021 Toyota Harrier 2.0 Z SUV # GRADE 4.5 , 360 CAMERA , JBL , HUD , BSM , DIM , POWER BOOT , 300 UNIT",Toyota,Harrier,2021,SUV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,White,189000,"RM 2,450/month",Used,5,"Kuala Lumpur , Wangsa Maju",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15920614
2021 Proton X50 1.5 TGDI Flagship Electronic Seat / Power Boot SUV,Proton,X50,2021,SUV,Petrol - Unleaded (ULP),35 - 40K KM,Automatic,Blue,70800,RM 918/month,Used,5,"Kuala Lumpur , Sungai Besi",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15925259
Proton X50 Executive SUV DECEMBER OFFER REBATE UP TO RM11XXX NO LESEN BANK BOLEH LULUS TAWARAN HEBAT FAST STOCK TRADE IN PROMO TEST DRIVE WELCOME,Proton,X50,2024,SUV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Grey,93300,"RM 1,210/month",New,5,"Selangor , Puchong",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15844895
PROTON X50 1.5 PREMIUM DECEMBER OFFER CASH REBATE LUMAYAN NO LESEN BANK BOLEH LULUS FAST STOCK TRADE IN PROMO TEST DRIVE WELCOME,Proton,X50,2024,SUV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,White,101800,"RM 1,320/month",New,5,"Selangor , Balakong",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_14234052
PROTON SAGA PREMIUM S DECEMBER OFFER CASH REBATE UP TO RM2XXX TAWARAN HEBAT DISKAUN TERTINGGI FAST STOCK X ADE LESEN BOLEH TEST DRIVE WELCOME,Proton,Saga,2024,Sedan,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Red,44800,RM 581/month,New,5,"Selangor , Rawang",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_14741459
2020 BMW X4 2.0 xDrive30i M Sport Driving Assist Pack SUV,BMW,X4,2020,SUV,Petrol - Unleaded (ULP),55 - 60K KM,Automatic,Blue,208800,"RM 2,707/month",Used,5,"Kuala Lumpur , Sungai Besi",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15283596
"2020 MERCEDES AMG GLA45 S 2.0 4MATIC+ SUV - JAPAN SPEC, AMG BUCKET SEAT, SPORT EXHAUST, PANROOF, 360 CAMERA, FREE WARRANTY",Mercedes-Benz,GLA45 AMG,2020,SUV,Petrol - Unleaded (ULP),34085 KM,Automatic,White,311000,"RM 4,032/month",Used,5,"Selangor , Klang",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15640042
PROTON S70 FLAGSHIP X DECEMBER TAWARAN TERTINGGI RM7XXX CASH REBATE FAST STOCK NO LESEN BOLEH LOAN BANK TEST DRIVE WELCOME,Proton,S70,2024,Sedan,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Black,94800,"RM 1,229/month",New,5,"Kuala Lumpur , Sri Petaling",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_14868669
PROTON S70 PREMIUM DECEMBER OFFER CASH REBATE UP TO RM6XXX PROMO TAWARAN TERHEBAT NO LESEN BOLEH LOAN FAST STOCK TEST DRIVE WELCOME TRADE IN PROMOSI,Proton,S70,2024,Sedan,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Green,79800,"RM 1,035/month",New,5,"Selangor , Klang",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15588187
"2019 Honda Civic 2.0 Type R Hatchback, FK8, Japan Spec, BREMBO 4 Pot, Low Mileage, Very Rare Unit, Year End & CNY SALE, READY STOCK..READY STOCK..",Honda,Civic,2019,Hatchback,Petrol - Unleaded (ULP),25 - 30K KM,Manual,Black,225000,"RM 2,917/month",Used,4,"Kuala Lumpur , Jln Ampang",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_13183329
[TAX INCLUDED] 2022 Mercedes-Benz GLC300 2.0 (A) 4MATIC AMG Coupe (GRADE 4.5B) HUD / 360 CAM / AMBIENT LIGHT (JAPAN UNREGISTER) NEW FACLIFT,Mercedes-Benz,GLC300,2022,Coupe,Petrol - Unleaded (ULP),20 - 25K KM,Automatic,Blue,348800,"RM 4,522/month",Used,5,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15897301
[YEAR END] 2023 Toyota Vellfire 2.4 Z Premier MPV,Toyota,Vellfire,2023,MPV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Black,438000,"RM 5,678/month",Used,7,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15932112
2020 Mercedes-Benz CLA250 2.0 4MATIC AMG Line Coupe,Mercedes-Benz,CLA250,2020,Coupe,Petrol - Unleaded (ULP),30 - 35K KM,Automatic,Blue,258000,"RM 3,345/month",Used,5,"Selangor , Subang Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15632256
2022 Lexus RX300 2.0 F Sport SUV 5A 4000km 4WD,Lexus,RX300,2022,SUV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Black,299999,"RM 3,889/month",Used,5,"Selangor , Subang Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15571412
"2020 Mercedes-Benz C180 1.5 AMG Sport Coupe - 16K MILEAGE , P/ROOF , BLACK INTERIOR , HUD , BSM , APPLE CAR PLAY & ANDROID AUTO",Mercedes-Benz,C180,2020,Coupe,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,Black,215000,"RM 2,787/month",Used,4,"Kuala Lumpur , Setapak",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15268967
"2021 Ford MUSTANG 2.3 High Performance Convertible - 7K MILEAGE , SOFT TOP , BANG & OLUFSEN SUBWOOFER , MAGNERIDE SUSPENSION , QUAD SPORT EXHAUST",Ford,MUSTANG,2021,Convertible,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,Yellow,319000,"RM 4,136/month",Used,4,"Kuala Lumpur , Setapak",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15265522
2020 Porsche 718 2.0 Boxster Convertible PDK,Porsche,718,2020,Convertible,Petrol - Unleaded (ULP),12000 KM,Automatic,White,365000,"RM 4,732/month",Used,2,"Selangor , Subang Jaya",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_14907422
2020 Lexus NX300 2.0 F Sport SUV,Lexus,NX300,2020,SUV,Petrol - Unleaded (ULP),40000 KM,Automatic,White,223000,"RM 2,891/month",Used,5,"Selangor , Subang Jaya",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15652389
2021 Toyota Alphard 2.5 SC (A) 3BA MODEL SUNROOF FULL MODELISTA KIT DIGITAL INNER MIRROR BLIND SPORT NEW FACELIFT JAPAN SPEC UNREGS,Toyota,Alphard,2021,MPV,Petrol - Unleaded (ULP),25 - 30K KM,Automatic,Black,242800,"RM 3,148/month",Used,7,"Selangor , Puchong",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15752397
2019 LAMBORGHINI URUS 4.0 V8 MANSORY CARBON BODYKIT/PANAROMIC ROOF/B&O SOUND/HEAD UP DISPLAY/MASSAGE SEAT/23 SHINY BLACK RIMS UK SPEC UNREGS,Lamborghini,Urus,2019,SUV,Petrol - Unleaded (ULP),25 - 30K KM,Automatic,Grey,1350000,"RM 17,502/month",Used,4,"Selangor , Puchong",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_14139160
"2020 Toyota Alphard 2.5 G S C Modellista , Grade 4.5 B , 3 Eye LED , Sunroof , Aircond Seats And Many Features",Toyota,Alphard,2020,MPV,Petrol - Unleaded (ULP),30 - 35K KM,Automatic,White,235000,"RM 3,047/month",Used,7,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15815645
"2020 Toyota Alphard 3.5 SC JBL Modellista , 360 Surround Camera , Apple Android Car Play , Ambient Lightings",Toyota,Alphard,2020,MPV,Petrol - Unleaded (ULP),35 - 40K KM,Automatic,Black,272000,"RM 3,526/month",Used,7,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15868664
"2023 Toyota Harrier 2.0 Z SUV - Full Digital Meter, 2 Tone Interior, JBL Sound System, 360 Camera, Panoramic Roof",Toyota,Harrier,2023,SUV,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,White,219000,"RM 2,839/month",Used,5,"Kuala Lumpur , Old Klang Road",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15887031
"2023 Toyota Vellfire 2.4 Z Premier MPV (Japan Spec Grade 6A) Sunset Brown Leather, Roof Monitor, Moonroof, 360 Camera, Head Up Display",Toyota,Vellfire,2023,MPV,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,White,479000,"RM 6,210/month",Used,7,"Kuala Lumpur , Old Klang Road",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3472&page_size=25#listing_15922153
"2021 Porsche Taycan 0.0 S Sedan (Japan Spec) Sport Chrono Pack, Air Suspension, 20 Inch Taycan Turbo Wheels",Porsche,Taycan,2021,Sedan,Electric,10 - 15K KM,Automatic,Black,378000,"RM 4,901/month",Used,4,"Kuala Lumpur , Old Klang Road",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15927110
2022 Toyota Alphard 2.5 SC Package MPV 3LED APPLE CAR PLAY DIM+BSM POWER BOAT PILOT FULL LEATHER UNREG,Toyota,Alphard,2022,MPV,Petrol - Unleaded (ULP),30 - 35K KM,Automatic,White,226000,"RM 2,930/month",Used,7,"Kuala Lumpur , Cheras",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15888757
2019 Perodua Myvi 1.5 H Hatchback,Perodua,Myvi,2019,Hatchback,Petrol - Unleaded (ULP),70 - 75K KM,Automatic,White,40999,RM 532/month,Used,5,"Johor , Johor Bahru",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15880148
2017 Honda Civic 1.8 S i-VTEC Sedan,Honda,Civic,2017,Sedan,Petrol - Unleaded (ULP),80 - 85K KM,Automatic,Grey,73999,RM 959/month,Used,5,"Johor , Johor Bahru",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15879333
2021 Mitsubishi Triton 2.4 VGT Premium Updated Spec Dual Cab Pickup Truck,Mitsubishi,Triton,2021,Pickup Truck,Diesel,60 - 65K KM,Automatic,White,84999,"RM 1,102/month",Used,5,"Johor , Johor Bahru",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15878410
2023 Toyota Alphard 2.5 Z MPV (GRADE 6A) ORI MODELLISTA /DIGITAL METER / HUD / DIM / BSM / POWER BOOT / SUNROOF / TV / VELLFIRE / ZEEKR 009,Toyota,Alphard,2023,MPV,Petrol - Unleaded (ULP),3000 KM,Automatic,Black,388000,"RM 5,030/month",Used,7,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15881214
2019 Lexus LX450d 4.5 V8 SUV / COOL BOX / BSM / HUD / POWER BOOT / 360 CAMERA / LAND CRUISER,Lexus,LX450d,2019,SUV,Diesel,25 - 30K KM,Automatic,White,488000,"RM 6,327/month",Used,5,"Kuala Lumpur , Jalan Kuching",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_14268862
"2019 Honda N-Box 0.7 660L TURBO MINI MPV CUSTOM GL, 2 POWER Sliding Doors UNREG",Honda,N-Box,2019,MPV,Petrol - Unleaded (ULP),55 - 60K KM,Automatic,Black,83000,"RM 1,076/month",Used,5,"Selangor , Shah Alam",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15752523
2022 Toyota GR86 2.4 RZ come with Japan Modification,Toyota,GR86,2022,Coupe,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Black,213000,"RM 2,761/month",Used,4,"Kuala Lumpur , Old Klang Road",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15639315
4WD 2023 Toyota Vellfire 2.4 Z Premier MPV Full Spec/ GR Bodykit / TRD exhaust / TRD Sport rim,Toyota,Vellfire,2023,MPV,Petrol - Unleaded (ULP),10 - 15K KM,Automatic,Black,480000,"RM 6,223/month",Used,7,"Kuala Lumpur , Old Klang Road",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15805579
2022 Lexus NX350 2.4 F Sport SUV / HUD / BSM / DIM /RED INTERIOR,Lexus,NX350,2022,SUV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,White,320000,"RM 4,149/month",Used,5,"Kuala Lumpur , Old Klang Road",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3473&page_size=25#listing_15815871
