Car Name,Car Brand,Car Model,Manufacture Year,Body Type,Fuel Type,Mileage,Transmission,Color,Price,Installment,Condition,Seating Capacity,Location,Sales Channel
2018 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2018,Hatchback,Petrol - Unleaded (ULP),100223 KM,Automatic,Blue,30800,RM 399/month,http://schema.org/UsedCondition,5,"Johor, Masai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2020,Hatchback,Petrol - Unleaded (ULP),68600 KM,Automatic,Silver,32400,RM 420/month,http://schema.org/UsedCondition,5,"Johor, Skudai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2016,Hatchback,Petrol - Unleaded (ULP),147347 KM,Automatic,Red,26400,RM 342/month,http://schema.org/UsedCondition,5,"Johor, Skudai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2022 Honda Civic 1.5 Sedan,Honda,Civic,2022,Sedan,Petrol - Unleaded (ULP),45335 KM,Automatic,Silver,123800,"RM 1,605/month",http://schema.org/UsedCondition,5,"Johor, Masai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2019 Perodua Myvi 1.5 Hatchback,Perodua,Myvi,2019,Hatchback,Petrol - Unleaded (ULP),69889 KM,Automatic,Grey,45900,RM 595/month,http://schema.org/UsedCondition,5,"Perak, Ipoh","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2018 Perodua Myvi 1.5 Hatchback,Perodua,Myvi,2018,Hatchback,Petrol - Unleaded (ULP),92171 KM,Automatic,Grey,43900,RM 569/month,http://schema.org/UsedCondition,5,"Johor, Masai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Perodua Myvi 1.5 Hatchback,Perodua,Myvi,2021,Hatchback,Petrol - Unleaded (ULP),33374 KM,Automatic,Red,46900,RM 608/month,http://schema.org/UsedCondition,5,"Johor, Skudai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2011 Proton Persona 1.6 Sedan,Proton,Persona,2011,Sedan,Petrol - Unleaded (ULP),195771 KM,Automatic,Black,12800,RM 166/month,http://schema.org/UsedCondition,5,"Selangor, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2022 Proton X50 1.5 SUV,Proton,X50,2022,SUV,Petrol - Unleaded (ULP),64086 KM,Automatic,Grey,79900,"RM 1,036/month",http://schema.org/UsedCondition,5,"Negeri Sembilan, Seremban","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Perodua Alza 1.5 MPV,Perodua,Alza,2016,MPV,Petrol - Unleaded (ULP),64532 KM,Automatic,Red,35900,RM 465/month,http://schema.org/UsedCondition,7,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2017,Hatchback,Petrol - Unleaded (ULP),117450 KM,Automatic,Black,27400,RM 355/month,http://schema.org/UsedCondition,5,"Penang, Bayan Lepas","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2018 Honda CR-V 2.0 SUV,Honda,CR-V,2018,SUV,Petrol - Unleaded (ULP),80139 KM,Automatic,Blue,79900,"RM 1,036/month",http://schema.org/UsedCondition,5,"Penang, Bayan Lepas","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Honda City 1.5 Sedan,Honda,City,2017,Sedan,Petrol - Unleaded (ULP),95720 KM,Automatic,White,46900,RM 608/month,http://schema.org/UsedCondition,5,"Pahang, Temerloh","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Toyota Alphard 2.5 G S Gold MPV,Toyota,Alphard,2020,MPV,Petrol - Unleaded (ULP),45 - 50K KM,Automatic,White,185000,"RM 2,398/month",http://schema.org/RefurbishedCondition,7,"Johor, Johor Bahru","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Volkswagen Tiguan 1.4 Allspace Highline SUV,Volkswagen,Tiguan,2020,SUV,Petrol - Unleaded (ULP),90 - 95K KM,Automatic,Grey,81000,"RM 1,050/month",http://schema.org/UsedCondition,7,"Selangor, Bandar Puncak Alam",Private
2022 Ford Ranger 2.0 XL Dual Cab Pickup Truck,Ford,Ranger,2022,Pickup Truck,Diesel,65 - 70K KM,Automatic,Black,83800,"RM 1,086/month",http://schema.org/UsedCondition,5,"Selangor, Shah Alam",Private
2022 Honda City 1.5 V Sensing Sedan LOW INTEREST IN TOWN,Honda,City,2022,Sedan,Petrol - Unleaded (ULP),25 - 30K KM,Automatic,Black,74900,RM 971/month,http://schema.org/UsedCondition,5,"Kedah, Alor Setar","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2022 Honda Civic 1.5 E VTEC Sedan,Honda,Civic,2022,Sedan,Petrol - Unleaded (ULP),32418 KM,Automatic,White,104000,"RM 1,348/month",http://schema.org/UsedCondition,5,"Selangor, Petaling Jaya","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2023 Proton Saga 1.3 Premium S Sedan,Proton,Saga,2023,Sedan,Petrol - Unleaded (ULP),14155 KM,Automatic,Silver,38000,RM 493/month,http://schema.org/UsedCondition,5,"Selangor, Petaling Jaya","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2022 Toyota Yaris 1.5 G Hatchback,Toyota,Yaris,2022,Hatchback,Petrol - Unleaded (ULP),38474 KM,Automatic,Red,70400,RM 913/month,http://schema.org/UsedCondition,5,"Selangor, Petaling Jaya","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 BMW M8 4.4 Sedan - BMW M8 COMPETITION GRAND COUPE - M2 M3 M4 M5 M6,BMW,M8,2021,Sedan,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,Blue,738000,"RM 9,568/month",http://schema.org/RefurbishedCondition,5,"Selangor, Klang","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Mercedes-Benz C250 2.0 AMG Line Convertible,Mercedes-Benz,C250,2016,Convertible,Petrol - Unleaded (ULP),140 - 145K KM,Automatic,White,98000,"RM 1,271/month",http://schema.org/UsedCondition,4,"Penang, Georgetown",Private
2018 Kia Grand Carnival 2.2 SX CRDi MPV,Kia,Grand Carnival,2018,MPV,Diesel,30 - 35K KM,Automatic,Silver,88800,"RM 1,151/month",http://schema.org/UsedCondition,8,"Selangor, Petaling Jaya","Private            

        
        
                
    
        
        Verified
    
    Verified Private Seller had been verified by Carlist.my with IC, Car Registration Card and valid car information showing on this ad."
2016 Perodua Myvi 1.5 Hatchback,Perodua,Myvi,2016,Hatchback,Petrol - Unleaded (ULP),112373 KM,Automatic,Purple,31900,RM 414/month,http://schema.org/UsedCondition,5,"Sarawak, Kuching","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
BMW X1 2.0 sDrive20i Sport Line SUV**FULL SERVICE RECORD,BMW,X1,2019,SUV,Petrol - Unleaded (ULP),60 - 65K KM,Automatic,Grey,78800,"RM 1,022/month",http://schema.org/UsedCondition,5,"Kuala Lumpur, Salak Selatan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Toyota Harrier Z Leather Full Spec GR Aerokit Panoramic Roof Ambient Light JBL,Toyota,Harrier,2020,SUV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,Black,188000,"RM 2,437/month",http://schema.org/RefurbishedCondition,5,"Kuala Lumpur, Setapak","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Toyota Vellfire 2.5 Z G Edition MPV,Toyota,Vellfire,2016,MPV,Petrol - Unleaded (ULP),100 - 105K KM,Automatic,White,135000,"RM 1,750/month",http://schema.org/UsedCondition,7,"Kuala Lumpur, Bukit Antarabangsa",Private
2021 Toyota Harrier 2.0 Z SUV,Toyota,Harrier,2021,SUV,Petrol - Unleaded (ULP),40 - 45K KM,Automatic,Black,187500,"RM 2,431/month",http://schema.org/UsedCondition,5,"Selangor, Petaling Jaya",Private
2020 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2020,Hatchback,Petrol - Unleaded (ULP),42395 KM,Automatic,Blue,36000,RM 467/month,http://schema.org/UsedCondition,5,"Pahang, Kuantan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Toyota Vios 1.5 Sedan,Toyota,Vios,2021,Sedan,Petrol - Unleaded (ULP),52520 KM,Automatic,Red,64400,RM 835/month,http://schema.org/UsedCondition,5,"Pahang, Kuantan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Honda Civic 1.8 S i-VTEC (Convert FK8 Type R/BC Racing HLSH Adjustable KIT/Fully Loaded),Honda,Civic,2017,Sedan,Petrol - Unleaded (ULP),105 - 110K KM,Automatic,Black,63800,RM 827/month,http://schema.org/UsedCondition,5,"Selangor, Batu Caves","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2006 Mercedes-Benz CLS350 3.5 Coupe,Mercedes-Benz,CLS350,2006,Coupe,Petrol - Unleaded (ULP),130 - 135K KM,Automatic,Black,24999,RM 324/month,http://schema.org/UsedCondition,4,"Selangor, Seri Kembangan",Private
2021 Ford Ranger 2.0 XLT+ High Rider Dual Cab Pickup Truck,Ford,Ranger,2021,Pickup Truck,Diesel,105 - 110K KM,Automatic,Black,88000,"RM 1,141/month",http://schema.org/UsedCondition,5,"Selangor, Petaling Jaya",Private
2023 Proton X90 1.5 Premium SUV - Desa ParkCity,Proton,X90,2023,SUV,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,Blue,110000,"RM 1,426/month",http://schema.org/UsedCondition,7,"Kuala Lumpur, Manjalara Kepong",Private
2016 Honda City 1.5 Sedan,Honda,City,2016,Sedan,Petrol - Unleaded (ULP),148234 KM,Automatic,Grey,45400,RM 589/month,http://schema.org/UsedCondition,5,"Pahang, Kuantan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2019 Toyota Hilux 2.8 Black Edition Dual Cab Pickup Truck,Toyota,Hilux,2019,Pickup Truck,Diesel,105 - 110K KM,Automatic,Black,98999,"RM 1,283/month",http://schema.org/UsedCondition,5,"Negeri Sembilan, Seremban",Private
2013 Lexus CT200h 1.8 Hatchback,Lexus,CT200h,2013,Hatchback,Hybrid,50 - 55K KM,Automatic,Maroon,38999,RM 506/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Setiawangsa",Private
DIRECT OWNER AMG SPORT 7SPEED 2013 REGISTERED 18 NOV 2016 Mercedes Benz E250 CGI 1.8,Mercedes-Benz,E250 CGI,2013,Sedan,Petrol - Unleaded (ULP),170 - 175K KM,Automatic,White,48888,RM 634/month,http://schema.org/UsedCondition,5,"Selangor, Puchong",Private
2020 Mazda CX-8 2.5G MID PLUS - LOW MILEAGE - UNDER 6YRS WARRANTY & FSM UNTIL DEC2026,Mazda,CX-8,2020,SUV,Petrol - Unleaded (ULP),55 - 60K KM,Automatic,Black,120800,"RM 1,566/month",http://schema.org/UsedCondition,6,"Penang, Bayan Lepas","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2022 BMW X3 2.0 sDrive20i M Sport SUV,BMW,X3,2022,SUV,Petrol - Unleaded (ULP),35 - 40K KM,Automatic,Black,196000,"RM 2,541/month",http://schema.org/UsedCondition,5,"Johor, Johor Bahru",Private
2022 Proton Saga 1.3 Premium Sedan,Proton,Saga,2022,Sedan,Petrol - Unleaded (ULP),35 - 40K KM,Automatic,Red,28500,RM 369/month,http://schema.org/UsedCondition,5,"Melaka, Melaka",Private
2022 Kia Carnival 2.2 MPV,Kia,Carnival,2022,MPV,Diesel,35 - 40K KM,Automatic,White,155000,"RM 2,009/month",http://schema.org/UsedCondition,11,"Kuala Lumpur, Old Klang Road",Private
2021 Ford Ranger 2.0 XLT+ High Rider Dual Cab Pickup Truck F/Lon OTR Free Warranty Free Tinted Low Mileage 1 Careful Owner,Ford,Ranger,2021,Pickup Truck,Diesel,70 - 75K KM,Automatic,Grey,71800,RM 931/month,http://schema.org/UsedCondition,5,"Selangor, Ampang","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2018 BMW 318i 1.5 Luxury Sedan Full Service Record BMW Low Mileage F/Lon OTR Ambient Light Full M Sport Body Free Warranty Free Tinted1Careful Owner,BMW,318i,2018,Sedan,Petrol - Unleaded (ULP),75 - 80K KM,Automatic,Black,57800,RM 749/month,http://schema.org/UsedCondition,5,"Selangor, Ampang","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2017,Hatchback,Petrol - Unleaded (ULP),99407 KM,Automatic,Black,27900,RM 362/month,http://schema.org/UsedCondition,5,"Pahang, Kuantan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2016,Hatchback,Petrol - Unleaded (ULP),98821 KM,Automatic,Black,26900,RM 349/month,http://schema.org/UsedCondition,5,"Selangor, Petaling Jaya","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2025 Proton Saga 1.3 Sedan,Proton,Saga,2025,Sedan,Petrol - Unleaded (ULP),4175 KM,Automatic,Grey,37800,RM 490/month,http://schema.org/UsedCondition,5,"Pahang, Kuantan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2023 Mercedes-Benz S580 e 3.0 Sedan,Mercedes-Benz,S580 e,2023,Sedan,Hybrid,10 - 15K KM,Automatic,Black,480000,"RM 6,223/month",http://schema.org/UsedCondition,5,"Melaka, Melaka",Private
2019 Porsche 911 3.0 Carrera 4S Coupe,Porsche,911,2019,Coupe,Petrol - Unleaded (ULP),55 - 60K KM,Automatic,Black,768000,"RM 9,957/month",http://schema.org/UsedCondition,4,"Selangor, Klang",Private
2022 Mercedes-Benz C200 1.5 Avantgarde Sedan / 1 Owner / Original Low Mileage,Mercedes-Benz,C200,2022,Sedan,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,Silver,208800,"RM 2,707/month",http://schema.org/UsedCondition,5,"Selangor, Petaling Jaya","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
